Date,Open,High,Low,Close,Adj Close,Volume
2004-01-01,49.509998,49.560001,49.500000,49.560001,40.736847,21900
2004-02-01,49.700001,50.869999,49.330002,50.040001,41.131393,64100
2004-03-01,50.400002,50.520000,47.470001,49.169998,40.416286,96900
2004-04-01,49.090000,50.349998,48.520000,48.720001,40.121014,295500
2004-05-01,48.770000,49.369999,47.189999,49.369999,40.656296,1707200
2004-06-01,49.049999,50.259998,48.910000,49.840000,41.043346,594200
2004-07-01,49.090000,49.240002,46.060001,46.990002,38.750919,113600
2004-08-01,46.889999,47.139999,44.919998,46.549999,38.388058,748800
2004-09-01,46.720001,48.020000,46.660000,47.330002,39.031303,1134200
2004-10-01,47.610001,48.520000,46.240002,48.000000,39.658752,854000
2004-11-01,48.049999,50.650002,47.910000,50.009998,41.319450,607100
2004-12-01,50.160000,52.150002,50.160000,51.400002,42.467922,460800
2005-01-01,51.650002,51.650002,48.959999,49.790001,41.430534,626400
2005-02-01,49.950001,50.990002,49.750000,50.490002,42.013004,177100
2005-03-01,50.630001,51.549999,48.889999,49.419998,41.122650,462400
2005-04-01,49.660000,50.000000,47.500000,48.209999,40.205685,272300
2005-05-01,48.400002,50.900002,48.380001,50.810001,42.374012,737600
2005-06-01,50.669998,51.639999,50.160000,50.570000,42.173855,877300
2005-07-01,50.619999,53.139999,50.160000,52.779999,44.096512,386500
2005-08-01,52.970001,53.240002,51.310001,52.040001,43.478252,727100
2005-09-01,52.000000,52.980000,51.020000,52.189999,43.603573,837800
2005-10-01,52.270000,52.270000,49.830002,51.750000,43.330215,901600
2005-11-01,51.750000,54.750000,51.369999,53.900002,45.130409,839600
2005-12-01,54.349998,55.080002,53.500000,53.500000,44.795467,1241700
2006-01-01,53.840000,55.849998,53.279999,54.669998,45.898525,1687100
2006-02-01,54.910000,55.290001,53.540001,54.520000,45.772598,1011000
2006-03-01,54.820000,55.700001,54.000000,55.169998,46.318295,1672600
2006-04-01,55.689999,56.070000,54.410000,55.169998,46.443069,947800
2006-05-01,55.400002,55.849998,52.169998,53.290001,44.860451,1745500
2006-06-01,53.279999,54.400002,50.750000,52.970001,44.591068,2058300
2006-07-01,53.169998,53.270000,50.000000,51.790001,43.693176,1411100
2006-08-01,51.650002,53.480000,51.150002,53.380001,45.034603,1461600
2006-09-01,52.650002,55.060001,52.650002,54.830002,46.257912,1911200
2006-10-01,54.950001,57.130001,54.220001,56.650002,47.892914,2147300
2006-11-01,56.880001,58.419998,55.860001,58.000000,49.034218,6064700
2006-12-01,58.090000,58.950001,57.290001,57.860001,48.915863,2645500
2007-01-01,58.279999,60.360001,57.450001,59.349998,50.307949,4597600
2007-02-01,59.660000,61.000000,57.000000,58.250000,49.375557,3080100
2007-03-01,57.310001,59.500000,56.500000,58.430000,49.528099,6578500
2007-04-01,58.590000,61.759998,58.259998,61.000000,51.823711,2965000
2007-05-01,61.000000,63.240002,60.669998,63.139999,53.641792,2747000
2007-06-01,63.279999,63.580002,61.410000,62.349998,52.970631,2574200
2007-07-01,62.540001,64.930000,61.009998,61.009998,51.959167,4505700
2007-08-01,61.500000,63.090000,57.509998,62.189999,52.964111,5895300
2007-09-01,62.230000,65.019997,61.029999,64.830002,55.212471,6372600
2007-10-01,64.910004,67.389999,63.750000,66.750000,56.984173,5463000
2007-11-01,66.480003,66.480003,61.779999,64.599998,55.148712,6943300
2007-12-01,63.959999,66.639999,62.880001,64.480003,55.046280,5470800
2008-01-01,64.900002,64.900002,50.610001,59.310001,50.759274,14579000
2008-02-01,59.549999,60.810001,56.849998,58.630001,50.177311,8870600
2008-03-01,58.580002,59.369999,55.410000,57.939999,49.586796,9948500
2008-04-01,58.349998,62.299999,58.349998,61.439999,52.699280,7086500
2008-05-01,61.430000,64.699997,61.290001,63.590000,54.543407,6315000
2008-06-01,63.540001,64.330002,58.919998,59.189999,50.769379,6455800
2008-07-01,58.590000,59.790001,55.930000,58.220001,50.051563,11966400
2008-08-01,58.340000,60.130001,56.939999,58.919998,50.653358,7935400
2008-09-01,59.459999,61.500000,49.570000,52.209999,44.884785,15254100
2008-10-01,51.520000,51.759998,36.500000,42.910000,36.985111,27700000
2008-11-01,42.900002,44.290001,32.900002,39.189999,33.778744,20874200
2008-12-01,38.090000,40.020000,35.650002,39.509998,34.054569,25282300
2009-01-01,39.490002,41.560001,36.540001,37.580002,32.530735,20501600
2009-02-01,37.160000,40.189999,34.630001,34.770000,30.098291,18107600
2009-03-01,34.110001,39.029999,32.209999,37.360001,32.340294,24930700
2009-04-01,37.169998,41.889999,36.959999,41.080002,35.699589,16368200
2009-05-01,41.180000,42.990002,40.689999,42.980000,37.350731,14288700
2009-06-01,43.490002,44.799999,41.970001,43.360001,37.680950,14744200
2009-07-01,43.599998,47.020000,41.250000,46.450001,40.505432,12239300
2009-08-01,46.919998,48.270000,45.639999,47.369999,41.307686,10157100
2009-09-01,47.189999,50.310001,46.340000,49.279999,42.973248,6356100
2009-10-01,49.169998,51.540001,47.720001,48.630001,42.528416,14503000
2009-11-01,48.770000,52.439999,48.439999,51.529999,45.064564,7866300
2009-12-01,51.840000,53.880001,51.080002,53.060001,46.402588,8316700
2010-01-01,53.520000,54.770000,50.490002,50.619999,44.418995,9887200
2010-02-01,50.880001,53.000000,49.450001,52.580002,46.138897,8282800
2010-03-01,52.770000,56.060001,52.750000,55.549999,48.745075,8232000
2010-04-01,55.919998,58.160000,55.500000,56.389999,49.611462,8764700
2010-05-01,56.639999,57.200001,23.290001,51.730000,45.511631,17474000
2010-06-01,51.320000,53.860001,48.549999,48.639999,42.793079,11235100
2010-07-01,48.630001,53.360001,47.759998,52.279999,46.127747,5816600
2010-08-01,53.099998,53.720001,49.349998,49.810001,43.948418,8244300
2010-09-01,50.509998,55.740002,50.450001,54.970001,48.501186,7417600
2010-10-01,55.320000,58.119999,54.349998,57.820000,51.207478,7301100
